Year,State,District,Agro-Climatic Zone,Crop,Season,Area (ha),Rainfall (mm),Irrigation (%),Soil Type,Fertilizer Use (kg/ha),Production (tonnes),crop_yield
2006,Rajasthan,District_26,Northern Hill Zone,Wheat,Rabi,143285,1681.2,54.45,Laterite,279.56,258861,1.81
2019,Gujarat,District_19,Eastern Plateau and Hills,Wheat,Zaid,142389,1202.28,87.09,Sandy,61.78,480734,3.38
2014,Rajasthan,District_93,East Coast Plains & Hills,Rice,Rabi,147776,486.12,90.95,Laterite,196.35,418028,2.83
2010,Gujarat,District_61,Central Plateau and Hills,Cotton,Kharif,134129,1070.6,20.84,Clay,283.81,487785,3.64
2007,Gujarat,District_77,Northern Hill Zone,Maize,Zaid,32910,921.79,54.98,Sandy,264.19,88610,2.69
2020,Tamil Nadu,District_34,Central Plateau and Hills,Rice,Zaid,69843,844.52,96.47,Black,84.69,107740,1.54
2006,Andhra Pradesh,District_84,Lower Gangetic Plains,Rice,Rabi,22736,1087.4,24.39,Black,299.09,46948,2.06
2018,Bihar,District_44,Central Plateau and Hills,Rice,Kharif,61784,1388.97,55.26,Clay,84.88,137057,2.22
2010,Tamil Nadu,District_18,Western Plateau,Wheat,Zaid,60165,1212.48,85.11,Black,108.62,215670,3.58
2010,Punjab,District_98,Eastern Plateau and Hills,Sugarcane,Kharif,10754,779.2,58.67,Laterite,74.58,18545,1.72
2020,Punjab,District_72,Lower Gangetic Plains,Rice,Kharif,79990,1530.06,78.34,Laterite,214.24,183920,2.3
2003,Punjab,District_16,Lower Gangetic Plains,Maize,Zaid,112191,1980.87,88.77,Alluvial,154.6,212034,1.89
2007,Uttar Pradesh,District_87,Trans-Gangetic Plains,Wheat,Zaid,19173,1942.19,36.25,Black,261.34,31993,1.67
2002,Uttar Pradesh,District_96,Western Plateau,Sugarcane,Kharif,144095,1994.27,36.91,Clay,267.37,263141,1.83
2020,Andhra Pradesh,District_77,Cauvery Delta Zone,Sugarcane,Rabi,67927,1128.33,79.7,Black,97.27,263707,3.88
2001,Punjab,District_26,Eastern Plateau and Hills,Rice,Zaid,63001,373.69,48.58,Red,161.98,270303,4.29
2011,Maharashtra,District_65,Eastern Plateau and Hills,Rice,Rabi,16658,1538.41,43.9,Black,206.4,70572,4.24
2005,Maharashtra,District_66,Cauvery Delta Zone,Wheat,Zaid,47340,1428.13,69.02,Red,258.09,200687,4.24
2001,Karnataka,District_77,East Coast Plains & Hills,Rice,Rabi,65351,1943.9,97.38,Alluvial,73.32,146599,2.24
2020,Tamil Nadu,District_27,East Coast Plains & Hills,Wheat,Zaid,11949,930.68,34.59,Clay,228.25,47252,3.95
2000,Bihar,District_4,Western Plateau,Sugarcane,Rabi,43407,1990,77.18,Clay,169.53,83250,1.92
2011,Uttar Pradesh,District_51,Cauvery Delta Zone,Maize,Kharif,19287,411.66,73.66,Laterite,170.87,31667,1.64
2011,Rajasthan,District_84,Trans-Gangetic Plains,Maize,Zaid,53256,910.26,80.56,Sandy,202.1,211093,3.96
2016,Bihar,District_3,Western Plateau,Cotton,Rabi,66145,1558.25,62.99,Black,89.3,265821,4.02
2009,West Bengal,District_87,Central Plateau and Hills,Cotton,Kharif,123210,1345.87,81.73,Alluvial,153.86,512607,4.16
2015,Andhra Pradesh,District_66,Northern Hill Zone,Cotton,Rabi,114187,649.85,20.5,Clay,272.45,396914,3.48
2014,Andhra Pradesh,District_16,Cauvery Delta Zone,Maize,Zaid,16078,907.32,66.28,Laterite,263.89,54308,3.38
2014,Punjab,District_74,Northern Hill Zone,Rice,Kharif,11127,575.84,30.64,Alluvial,87.72,22939,2.06
2018,Maharashtra,District_28,Cauvery Delta Zone,Wheat,Kharif,93900,1990.65,69.44,Alluvial,189.93,201316,2.14
2011,Punjab,District_44,Cauvery Delta Zone,Maize,Zaid,71291,1174.46,79.99,Black,292.59,229734,3.22
2019,Bihar,District_18,East Coast Plains & Hills,Cotton,Rabi,29361,1774.32,55.25,Black,207.51,101409,3.45
2002,Maharashtra,District_2,Central Plateau and Hills,Cotton,Zaid,20984,969.63,74.03,Red,114.42,80336,3.83
2004,Punjab,District_78,Trans-Gangetic Plains,Rice,Rabi,32004,714.96,97.33,Sandy,66.99,103492,3.23
2018,Bihar,District_44,East Coast Plains & Hills,Cotton,Zaid,55972,1129.51,96.26,Red,181.77,230736,4.12
2006,West Bengal,District_20,Cauvery Delta Zone,Cotton,Zaid,140414,1608.04,43.88,Clay,96.51,292505,2.08
2020,Karnataka,District_56,Western Dry Region,Wheat,Zaid,63046,1847.17,36.29,Clay,291.02,229285,3.64
2008,Tamil Nadu,District_23,East Coast Plains & Hills,Rice,Rabi,59040,627.91,71.64,Black,219.56,134715,2.28
2006,Karnataka,District_60,Northern Hill Zone,Sugarcane,Rabi,17240,517.45,58.56,Red,280.58,50004,2.9
2017,West Bengal,District_71,Western Plateau,Sugarcane,Rabi,6436,573.88,27.63,Red,240.26,20398,3.17
2003,Karnataka,District_45,Trans-Gangetic Plains,Cotton,Kharif,96214,815.85,28.37,Laterite,224.64,231054,2.4
2013,Rajasthan,District_47,Western Plateau,Cotton,Kharif,92929,1317.83,44.14,Alluvial,179.78,214442,2.31
2017,Uttar Pradesh,District_78,East Coast Plains & Hills,Wheat,Rabi,13048,1554,99.91,Clay,109.15,55693,4.27
2008,Uttar Pradesh,District_37,Western Dry Region,Sugarcane,Rabi,95054,919.97,46.97,Red,193.27,417353,4.39
2020,Rajasthan,District_8,Lower Gangetic Plains,Rice,Kharif,140759,1862.27,26.98,Black,245.34,401630,2.85
2001,Uttar Pradesh,District_5,Western Dry Region,Rice,Zaid,94988,1082.74,48.1,Alluvial,125.17,151069,1.59
2019,Bihar,District_23,Cauvery Delta Zone,Maize,Zaid,126680,1130.22,37.23,Laterite,105.84,495682,3.91
2014,Uttar Pradesh,District_10,Central Plateau and Hills,Maize,Rabi,90745,1806.75,48.44,Red,75.36,274618,3.03
2006,Andhra Pradesh,District_27,Western Plateau,Rice,Zaid,140244,406.18,60.81,Laterite,163.72,577160,4.12
2011,Andhra Pradesh,District_99,Central Plateau and Hills,Maize,Rabi,44771,1334.8,94.71,Black,219.98,93950,2.1
2007,Maharashtra,District_1,Northern Hill Zone,Wheat,Kharif,36892,1252.36,22.3,Red,55.86,87376,2.37
